"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2017-03-24",5565.624023,5581.183105,5546.832031,5567.133789,64734100,5567.133789,"2017-03-24"
"2017-03-27",5557.924805,5567.431152,5531.326172,5541.202148,62855600,5541.202148,"2017-03-27"
"2017-03-29",5552.783203,5592.774902,5552.783203,5592.509766,72492200,5592.509766,"2017-03-29"
"2017-03-30",5581.116211,5592.952148,5555.367188,5592.952148,98370200,5592.952148,"2017-03-30"
"2017-03-31",5589.523926,5606.024902,5568.105957,5568.105957,73764600,5568.105957,"2017-03-31"
"2017-04-03",5583.345215,5616.942871,5581.313965,5606.789063,81392100,5606.789063,"2017-04-03"
"2017-04-04",5611.665039,5654.398926,5608.523926,5651.823242,106415400,5651.823242,"2017-04-04"
"2017-04-05",5668.001953,5676.97998,5644.791992,5676.97998,83898800,5676.97998,"2017-04-05"
"2017-04-06",5668.306152,5680.23877,5645.306152,5680.23877,68797100,5680.23877,"2017-04-06"
"2017-04-07",5674.01123,5677.717773,5643.350098,5653.48584,64404200,5653.48584,"2017-04-07"
"2017-04-10",5662.668945,5677.070801,5628.984863,5644.298828,72743800,5644.298828,"2017-04-10"
"2017-04-11",5647.903809,5658.727051,5621.786133,5627.933105,95131900,5627.933105,"2017-04-11"
"2017-04-12",5633.975098,5650.035156,5631.74707,5644.154785,84273900,5644.154785,"2017-04-12"
"2017-04-13",5658.199219,5660.384766,5613.543945,5616.544922,62159000,5616.544922,"2017-04-13"
"2017-04-17",5624.617188,5631.509766,5577.486816,5577.486816,60945800,5577.486816,"2017-04-17"
"2017-04-18",5597.666016,5626.523926,5597.168945,5606.51709,69950500,5606.51709,"2017-04-18"
"2017-04-19",NA,NA,NA,NA,NA,NA,"2017-04-19"
"2017-04-20",5609.89209,5619.36084,5590.030762,5595.306152,73938500,5595.306152,"2017-04-20"
"2017-04-21",5600.419922,5664.475098,5599.495117,5664.475098,53480800,5664.475098,"2017-04-21"
"2017-04-25",5690.894043,5696.38916,5653.675781,5680.795898,59697700,5680.795898,"2017-04-25"
"2017-04-26",5687.080078,5726.529785,5679.594238,5726.529785,65935900,5726.529785,"2017-04-26"
"2017-04-27",5708.230957,5718.89502,5697.791016,5707.027832,68662300,5707.027832,"2017-04-27"
"2017-04-28",5715.084961,5724.507813,5684.589844,5685.297852,57985100,5685.297852,"2017-04-28"
"2017-05-02",5703.867188,5714.344238,5675.808105,5675.808105,57814800,5675.808105,"2017-05-02"
"2017-05-03",5681.599121,5686.825195,5647.323242,5647.368164,65683200,5647.368164,"2017-05-03"
"2017-05-04",5656.09082,5676.008789,5643.054199,5669.442871,66172000,5669.442871,"2017-05-04"
"2017-05-05",5665.106934,5696.476074,5659.96582,5683.376953,75048200,5683.376953,"2017-05-05"
"2017-05-08",5699.300781,5727.492188,5692.561035,5707.861816,69605600,5707.861816,"2017-05-08"
"2017-05-09",5730.250977,5745.847168,5693.674805,5697.056152,59581000,5697.056152,"2017-05-09"
"2017-05-10",5697.956055,5718.586914,5636.204102,5653.007813,73073800,5653.007813,"2017-05-10"
"2017-05-12",5680.585938,5698.961914,5668.717773,5675.21582,79691200,5675.21582,"2017-05-12"
"2017-05-15",5689.805176,5693.993164,5649.083984,5688.870117,61924800,5688.870117,"2017-05-15"
"2017-05-16",5690.297852,5696.623047,5646.999023,5646.999023,54203300,5646.999023,"2017-05-16"
"2017-05-17",5661.481934,5664.316895,5608.803223,5615.492188,53254300,5615.492188,"2017-05-17"
"2017-05-18",5590.473145,5645.451172,5577.521973,5645.451172,68547400,5645.451172,"2017-05-18"
"2017-05-19",5643.537109,5825.208008,5630.071777,5791.883789,70741400,5791.883789,"2017-05-19"
"2017-05-22",5837.175781,5874.438965,5743.388184,5749.444824,58742100,5749.444824,"2017-05-22"
"2017-05-23",5770.617188,5777.687012,5692.983887,5730.612793,53659300,5730.612793,"2017-05-23"
"2017-05-24",5678.393066,5704.706055,5672.042969,5703.433105,59809800,5703.433105,"2017-05-24"
"2017-05-26",5713.354004,5728.60498,5703.890137,5716.814941,57655300,5716.814941,"2017-05-26"
"2017-05-29",5728.807129,5730.844238,5703.461914,5712.331055,50129600,5712.331055,"2017-05-29"
"2017-05-30",5700.773926,5730.056152,5693.391113,5693.391113,62769800,5693.391113,"2017-05-30"
"2017-05-31",5697.814941,5738.154785,5697.814941,5738.154785,91263500,5738.154785,"2017-05-31"
"2017-06-01",NA,NA,NA,NA,NA,NA,"2017-06-01"
"2017-06-02",5749.420898,5752.655762,5726.01416,5742.445801,64775200,5742.445801,"2017-06-02"
"2017-06-05",5747.891113,5765.829102,5737.580078,5748.234863,56536500,5748.234863,"2017-06-05"
"2017-06-06",5743.39502,5754.293945,5701.658203,5707.831055,61071500,5707.831055,"2017-06-06"
"2017-06-07",5716.969238,5735.990234,5709.146973,5717.325195,46852400,5717.325195,"2017-06-07"
"2017-06-08",5719.029785,5725.882813,5702.921875,5702.921875,45346000,5702.921875,"2017-06-08"
"2017-06-09",5699.253906,5704.861816,5669.873047,5675.522949,51126700,5675.522949,"2017-06-09"
"2017-06-12",5668.722168,5716.536133,5668.722168,5691.436035,37789600,5691.436035,"2017-06-12"
"2017-06-13",5694.950195,5715.208008,5693.875977,5707.64502,43934000,5707.64502,"2017-06-13"
